"","id_order","count","sku","created_date","state","total_price","total_paid","difference"
"1",246018,4,"IFX0049; TUC0302; IFX0014; MOP0083","2017-02-13T23:02:57Z","Completed",206.96,211.95,4.99
"2",246405,4,"CRU0045; OWC0048; SEA0038; APP1130","2017-11-24T10:01:27Z","Completed",275.75,407.96,132.21
"3",251302,2,"APP0405; APP1208","2017-05-10T12:27:33Z","Completed",140.99,140.99,0
"4",251688,5,"BOS0059; APP1457; APP0432; APP2487; APP2552","2017-11-24T23:57:07Z","Completed",485.77,505.76,19.99
"5",253220,5,"LGE0038; ELA0004; APP1459; APP1208; LAC0221","2017-10-04T19:37:10Z","Completed",1609.99,1610,0.01
"6",253306,2,"APP2498; APP1916","2017-10-04T14:14:45Z","Completed",477.68,497.68,20
"7",253307,5,"LAC0166; ALL0004; WOE0002; APP2523; SAN0150","2017-09-30T06:11:10Z","Completed",285.05,292.4,7.35
"8",254341,2,"BEZ0209; SAT0024","2017-07-31T10:25:35Z","Completed",34.98,34.98,0
"9",254816,3,"APP1037; LAC0176; SAT0003","2017-01-12T15:57:20Z","Completed",277.56,283.83,6.27
"10",258155,2,"EVU0003; SAN0039","2018-01-22T18:51:50Z","Completed",33.77,40.76,6.99
"11",258985,2,"PAC2070; CAD0005","2017-07-31T12:52:38Z","Completed",2264.69,2264.6,-0.09
"12",259192,2,"SEA0043; SEA0033","2017-11-09T11:15:51Z","Completed",188.74,195.74,7
"13",259668,2,"APP2481; APP2513","2017-10-06T22:06:58Z","Completed",1132.33,1132.33,0
"14",262016,3,"OWC0226; OWC0216; APP1859","2017-08-18T01:05:38Z","Completed",3109.57,3109.57,0
"15",262236,2,"OWC0036; OWC0035-2","2017-06-05T10:02:29Z","Completed",117.98,122.97,4.99
"16",263738,2,"BEL0183; ELA0021","2017-08-16T17:05:25Z","Completed",73.97,80.96,6.99
"17",265951,2,"FCM0010; SAN0106","2017-01-26T12:08:46Z","Completed",116.47,121.46,4.99
"18",265954,2,"LAC0225; KIN0144","2017-10-02T15:18:15Z","Completed",123.03,127.2,4.17
"19",266727,2,"PHI0063; WDT0135","2017-01-30T15:03:51Z","Completed",146.39,150.2,3.81
"20",267014,2,"OWC0002; AP20299","2017-11-22T12:00:54Z","Completed",282.85,302.39,19.54
"21",268174,2,"LEX0010; PAC1494","2017-02-13T22:15:52Z","Completed",723.69,723.69,0
"22",268234,2,"PHI0066; PHI0057","2017-11-24T09:33:02Z","Completed",79.18,84.17,4.99
"23",269440,2,"BEL0263; LAC0206","2017-01-18T19:15:00Z","Completed",213.98,213.98,0
"24",274550,4,"KIN0115; MOS0148; BEL0223; MOS0059","2017-01-09T15:17:53Z","Completed",108.93,118.92,9.99
"25",278926,4,"APP2477; IOT0012; OTT0156; XDO0033","2017-11-23T11:06:39Z","Completed",776.23,795.85,19.62
"26",280008,2,"NTE0015; APP0696","2017-02-03T10:43:59Z","Completed",169.98,174.97,4.99
"27",281492,3,"IOT0008; APP0431; IOT0020","2017-08-28T18:46:58Z","Completed",72.97,72.97,0
"28",281497,3,"BNQ0036-A; APP0692; SAN0116-A","2017-01-05T12:16:45Z","Completed",698.44,697.72,-0.72
"29",284739,3,"OWC0184; APP1565; LAC0176","2017-01-09T16:42:59Z","Completed",337.98,342.97,4.99
"30",285098,3,"PAC2105; APP0656; CAD0005","2017-07-25T22:17:09Z","Completed",3047.59,3047.6,0.01
"31",285115,2,"SEA0096; OWC0001","2017-11-27T20:57:28Z","Completed",100.74,120.73,19.99
"32",287733,2,"APP2323; SAT0023","2017-06-21T12:38:47Z","Completed",3385.99,3385.99,0
"33",288502,2,"KIN0153-2; APP1204","2017-01-22T13:09:26Z","Completed",346.98,351.97,4.99
